event	TDC0	TDC1
1	990924	990841
2	48618	48489
3	1551637	1551530
4	1321055	1320871
5	553099	552989
6	1174187	1174368
7	704623	704846
8	1360189	1360379
9	817809	817656
10	484287	484198
11	164144	164344
12	293628	293851
13	1940354	1940508
14	1066107	1066297
15	1974190	1974083
16	396505	396662
17	1550654	1550551
18	1576754	1576991
19	1591480	1591383
20	652847	653090
21	1472820	1472694
22	1238107	1238020
23	1378135	1378026
24	1229707	1229874
25	364075	363960
26	282698	282573
28	92503	92414
29	1044632	1044480
30	2028392	2028283
31	1674635	1674517
32	2049337	2049242
33	681338	681229
34	1449690	1449557
35	48534	48398
36	1703061	1703310
37	1316160	1316056
38	668454	668344
39	742848	742736
40	1035336	1035229
41	1246175	1246044
42	1588088	1587951
43	1361712	1361886
44	1469151	1469045
45	413252	413175
46	811505	811703
47	1271403	1271633
48	376046	375928
49	1137831	1137714
50	1721032	1720932
51	929464	929304
52	324662	324554
53	571632	571826
54	1829919	1830134
55	635375	635254
56	1860633	1860850
57	1778597	1778791
58	1620535	1620741
59	1829750	1829634
60	842050	842271
61	1889709	1889914
62	2004409	2004304
63	363476	363682
64	1987884	1987781
65	883410	883293
66	1679440	1679286
67	370907	371101
68	1667252	1667070
69	2076033	2076271
70	2002696	2002583
71	1904340	1904239
72	1743890	1744094
73	157542	157734
74	1857017	1857246
75	88859	88723
76	1289727	1289599
77	726843	726740
78	1162402	1162206
79	1107274	1107106
80	800616	800816
81	90096	89970
82	1110548	1110420
83	46023	45926
84	1497689	1497863
85	1484182	1484050
86	1679700	1679549
87	947653	947516
88	1199307	1199202
89	1473565	1473487
90	170679	170599
91	1823926	1823814
92	1292199	1292372
93	1529730	1529636
94	741448	741285
95	1956867	1956728
96	568111	568299
97	706408	706237
98	525569	525458
99	1564726	1564926
100	230206	230111
101	1283336	1283198
102	775506	775376
103	793209	793087
105	333036	333264
106	790877	790744
107	1172401	1172560
108	491504	491373
109	1064962	1065156
110	803727	803625
111	483032	483243
112	847688	847604
113	859507	859392
114	417248	417132
115	1861638	1861828
