event	TDC0	TDC1
370	1383495	1383688
371	589524	589643
372	1737565	1737731
373	158955	159071
374	548606	548736
375	547555	547614
376	1261814	1261849
377	87789	87927
378	1819995	1820098
379	1480184	1480248
380	517663	517747
381	972050	971782
382	849876	849948
383	1514241	1514409
384	1753241	1753186
385	34770	35109
386	489959	490085
387	125671	125386
388	1127089	1127266
389	268543	268663
390	1790803	1790924
391	913492	913625
392	362041	362157
393	888666	888771
394	235151	235410
395	889687	889797
396	1773842	1773945
397	1617914	1618003
398	1845407	1845547
399	1352996	1353102
400	1275674	1275800
401	243593	243759
402	417798	417898
403	125660	126410
404	570123	570254
405	1415521	1415633
406	1479240	1479405
407	596231	596370
408	111109	111197
409	137833	137919
410	1800497	1800654
411	1672732	1672839
412	1210320	1210439
413	332966	333057
414	1052539	1052645
415	1898001	1898037
416	711441	711566
417	155928	156035
418	1054520	1054645
420	846890	846959
421	473378	473677
422	1403395	1403523
423	1620492	1620599
424	1810593	1810698
425	1347676	1347776
426	1288887	1288973
427	1312627	1312740
428	1268284	1268389
429	984358	984489
430	1298116	1298217
431	2052284	2052245
432	493044	493139
433	2076681	2076841
434	1289600	1289721
435	428036	428137
436	1053654	1053703
437	63489	63607
438	1074892	1075009
439	1807089	1807194
440	229604	229781
441	1838315	1838412
442	383044	383178
443	70913	71039
444	1610880	1610994
445	37390	37515
446	1139015	1139150
447	1783022	1783129
448	1652490	1652571
450	265023	265116
451	245283	245428
452	119656	119898
453	1230505	1230626
454	33853	33786
455	1320198	1320291
456	1191772	1191920
457	1319472	1319572
458	1660596	1660687
459	1033598	1033724
460	1676745	1676910
461	1950625	1950717
462	550568	550692
463	387469	387571
464	926149	926318
465	1876091	1876165
466	211431	211593
467	2092959	2093241
468	1513172	1513362
469	690290	690484
470	123648	123969
471	751943	752053
472	2065689	2065809
473	1956271	1956395
474	291571	291656
475	1597013	1596923
476	873878	874014
477	758870	759030
478	1563983	1564104
479	1370281	1370415
480	102140	102264
481	1136299	1136385
482	132718	132849
483	465671	465884
484	1138095	1138265
485	663635	663776
486	1726288	1726393
487	2029410	2029191
488	1960952	1961074
489	1359612	1359903
490	384928	385040
491	1518176	1518261
492	1922380	1922498
493	571709	571819
494	1812375	1812487
495	651947	652068
496	1772798	1772917
497	296888	296897
498	1150985	1151066
499	666621	666681
500	1848829	1848944
501	41895	42004
502	1922783	1922906
503	1267931	1268067
504	2046924	2047065
505	882695	882758
506	855233	855372
507	784726	784928
508	693301	693372
509	812648	812746
510	736311	736465
511	23467	23615
512	1630171	1630307
513	301536	301623
514	1628685	1628765
515	1476211	1476312
516	551937	552038
517	465899	466069
518	1477887	1477980
519	1611701	1611844
520	1173138	1173226
521	575525	575663
522	884914	885030
523	583193	583280
524	1980658	1980780
525	508995	509165
526	1284722	1284841
527	1659489	1659619
528	860492	860424
529	1147406	1147510
530	2021892	2022039
531	759505	759610
532	450177	450263
533	899294	899593
534	1168911	1169111
535	1031785	1031900
536	1078871	1078983
537	1065893	1066026
538	295591	295677
539	888984	889047
540	381020	381106
541	1323069	1323192
543	1546284	1546379
544	646156	646268
545	1504723	1504832
546	1461240	1461380
547	702576	702706
548	677528	677594
549	1145996	1146079
550	1431330	1431047
551	1623898	1624025
552	1659251	1659347
553	1287529	1287626
554	2073717	2073659
555	19910	20007
556	512454	512572
557	2010659	2010762
558	283472	283593
559	103095	103190
560	1078801	1078927
561	1317463	1317555
562	1279264	1279426
563	1000624	1000712
564	1891100	1891240
565	1772667	1772751
566	1617874	1617971
567	1070641	1070771
568	1031329	1031386
569	488870	488867
570	176840	176962
571	2025794	2025939
572	621970	622111
573	569993	570090
574	1956609	1956738
575	1263524	1263638
576	298592	298725
577	2092096	2092214
578	1081012	1081144
579	1377611	1377760
580	384094	384111
581	154941	155041
582	238943	239034
583	81729	81861
584	1014201	1014351
585	1122799	1122904
586	1494484	1494651
587	1146582	1146637
588	113074	113215
589	1023583	1023752
590	441628	441739
591	1394357	1394474
592	2042966	2042925
593	1660158	1660186
594	1918819	1918962
595	176003	176125
596	1968242	1968351
597	194717	194797
598	372186	372346
599	1143204	1143259
600	504343	504478
601	2089328	2089442
602	386267	386383
603	513438	513428
604	373633	373758
605	659899	660028
607	1591221	1591370
608	680122	679873
609	333394	333541
610	863091	862819
611	2068697	2068886
612	1820264	1820355
613	788258	788343
614	1204242	1204365
615	1526951	1527159
616	817797	817917
617	13089	13240
618	182641	182783
619	909871	910017
620	1445060	1444995
