EVENT	TDC1	TRIG
6452	1730424	1733707
6461	622786	625763
6475	1818374	1821588
6482	137003	139951
6484	800458	803790
6488	1506384	1509362
6489	862143	865125
6649	97865	101108
6664	519954	523235
6671	1896951	1900240
6672	1590867	1593853
6685	2050586	2053809
6696	105893	108853
6725	1724692	1727667
6804	532119	535538
6812	1777349	1780658
6874	1752436	1755392
6877	152810	155755
6910	2002008	2005144
6933	1198892	1202405
6952	443492	446570
6978	681314	684275
6994	709283	712243
7033	892050	895015
7042	1181635	1184782
7070	966863	969813
7133	1500546	1503459
7159	1602453	1605435
7173	1550082	1553447
7197	797842	800781
7214	1485123	1488537
7267	1734692	1737707
7281	390241	393216
7290	873082	876440
7320	1725632	1728802
7328	1437259	1440484
7330	881849	884934
7346	1818871	1821838
7368	1010010	1013379
7409	1913110	1916146
7413	59960	62940
7414	601550	605070
7553	773456	777078
7567	1039911	1043272
7589	767639	770640
7609	622742	626442
7611	1725340	1728471
7614	815609	818574
7630	1962337	1965510
7663	145913	149301
7739	1648018	1651269
7740	1543679	1546664
7775	1530330	1533606
7795	2082837	2085895
7802	639040	642463
7853	1307114	1310369
7888	362890	365873
7935	232650	235974
7945	201607	204582
7947	406616	409583
7961	938313	941302
7975	1713333	1716538
7991	767148	770340
8002	1548635	1551670
8085	513831	516778
8106	289787	293174
8129	528464	531434
8160	617141	620271
8191	296108	299073
8206	605558	608553
8235	561517	564486
8266	1775175	1778162
8289	416972	419925
8303	199006	201982
8329	386274	389454
8354	1669366	1672320
8379	567235	570518
8409	34751	38033
8416	542584	545557
8421	1631053	1634002
8428	975696	978963
8458	676494	679517
8482	1011298	1014540
8516	398572	401735
8557	1094886	1098034
8563	1205681	1208752
8591	1222909	1225875
8594	787574	790531
8623	2088933	2092238
8628	682109	685066
8709	1846850	1849836
8713	1299929	1303209
8764	1028210	1031194
8770	1696685	1699752
8806	252098	255306
8864	674908	678159
8873	259575	262525
8915	2091818	2094905
8947	1270869	1274129
8954	538960	542271
8989	1389357	1392368
8992	2053358	2056333
9024	760135	763148
9028	1155779	1158739
9129	1288843	1291903
9177	2037941	2040898
9179	562863	565885
9181	2032821	2035964
9191	269	3448
9208	1928201	1931339
9218	1411598	1415109
9220	1181884	1185328
9235	797877	800851
9253	340512	343468
9258	1737291	1740410
9268	827263	830593
9274	448351	451656
9282	864999	868188
9297	1537732	1540944
9299	694252	697240
9313	921472	924690
9318	1866442	1869485
