EVENT	TDC1	TRIG
226	27285	30901
314	978591	981821
582	308431	311762
1408	1649215	1652598
1470	732058	736324
1484	1712786	1729236
1695	1947520	1950885
1854	761059	764404
1876	198697	201982
2043	1915937	1919228
2294	1571266	1574376
2307	2071651	2075286
2404	84994	88275
2786	1506842	1510448
3001	2078023	2081533
3235	888479	892071
3275	163117	166685
3515	1297987	1301515
4000	1487588	1491182
4040	839943	856312
4045	317011	320445
4203	1214786	1218402
4289	443963	447563
4444	553973	557649
4526	899743	903372
4538	915391	918994
4699	1965526	1981924
4724	416176	419797
4859	1798117	1823917
4929	1786046	1789629
5090	520962	524650
5776	873726	877293
5994	1773277	1776855
5999	444129	447753
6296	900129	903723
6647	1197248	1200783
6680	144868	148477
6860	1621614	1625194
6879	577805	581380
7505	1459857	1463377
7586	1586570	1590231
7855	454086	457718
8165	1558118	1561674
8337	1405454	1408769
8401	793357	796905
8411	12280	15604
8805	51594	54976
9072	1009496	1013091
9094	1591884	1595286
9356	1263337	1267062
9550	1475868	1479506
9610	1800495	1804174
9685	26892	30573
10459	1400022	1403698
10487	70793	74414
10881	44832	48231
11244	1269773	1273379
11263	465399	468999
11283	739547	743142
11321	1821961	1825554
11338	2055957	2059540
11355	337818	341409
11890	2048010	2051546
11910	1408478	1412132
12146	1028998	1032550
12186	970682	974003
12331	327258	330878
12430	1816018	1819546
12599	1560677	1564033
12705	273403	276743
12943	1933615	1936968
13313	935500	939127
13364	1215609	1219203
14061	2083849	2087142
14470	722483	725842
14489	1403597	1406956
14547	1277306	1280866
14770	597008	600358
15078	1105857	1109476
15097	1375370	1378708
15258	621894	625543
15869	1173135	1176499
16265	800729	804083
16275	974053	977404
16673	635103	638477
16752	925842	929183
16810	1445284	1448889
17101	175106	178403
17110	614645	618271
17409	1649380	1652680
18059	1023506	1026849
18211	489783	493142
18227	194099	197629
18575	857686	861047
18583	41422	44839
18660	444689	448222
18825	1725794	1729128
19320	1187237	1190589
19340	733811	737132
19515	699097	702233
19790	2091086	2094338
19839	871461	875079
19977	572449	576069
20003	1694719	1698088
20199	401250	404548
20596	285509	288836
20597	614838	618463
20946	1406921	1410213
21010	1182339	1185669
21054	1378970	1382307
21100	499206	502519
21516	337088	340430
21533	1943191	1946812
21542	939725	943069
22090	515222	518586
22289	1897115	1900434
22496	1354725	1358060
