EVENT	TDC1	TRIG
43	1393852	1397026
113	1440956	1444054
233	1659474	1662692
237	1333110	1336289
271	1229833	1233258
327	1222450	1225727
330	472044	475172
351	1852635	1855705
381	1196150	1199548
411	1682787	1685937
456	554846	557972
859	1678267	1681467
943	1005520	1008662
971	911545	914729
1134	229341	232881
1371	352195	355425
1700	153493	156662
1794	1260746	1264278
1867	182843	186013
1936	1196675	1199903
1946	1696928	1700320
2058	1366932	1370111
2174	135600	138871
2213	961894	965229
2384	1282555	1285684
2386	857534	860654
2468	1761819	1765305
2749	785845	788983
2833	532983	536125
2846	1478350	1481484
3036	1498179	1501924
3096	450218	453422
3192	1205272	1208620
3326	2004071	2007163
3345	1360205	1363354
3390	769612	772853
3632	670866	674369
3651	255824	259031
3767	1815984	1819177
3777	919202	922685
3884	973677	976987
3918	183500	186675
3934	871372	874962
4005	956421	959656
4029	2026949	2030372
4142	761354	764513
4339	1498849	1501986
4470	1343306	1346462
4569	1938595	1941710
4725	824891	828029
4745	1546978	1549920
4840	1598279	1601701
5036	1522869	1526244
5049	1384207	1387335
5057	1582544	1586183
5063	1347290	1350449
5078	1937959	1941108
5125	1872274	1875377
5316	839250	842318
5413	812784	815941
5490	490993	494109
5598	899160	902328
5685	1195529	1198621
5711	795664	799235
5847	490117	493706
5856	1279202	1282348
5943	1224238	1227539
5964	173855	176985
6112	828959	832424
6240	1560665	1564380
6373	544741	547790
6534	1764370	1767548
6703	463944	467096
6754	2053663	2056853
6776	907725	910842
6794	540795	543948
7031	1451270	1454627
7127	1854614	1857720
7191	1814527	1817697
7247	613695	616805
7276	2089745	2092860
7349	1080183	1083802
7355	682902	686034
7368	2066473	2069878
7385	887250	890853
7576	1063946	1067107
7726	1739802	1743298
7735	1697845	1700971
7783	1714485	1717685
7818	912872	916028
8174	545682	548803
8390	1622227	1625709
8398	523986	527234
8463	929377	932818
8514	1225354	1228765
8532	676193	679346
8559	534443	537676
8756	518004	521301
8799	1845838	1848925
8946	1922306	1925773
9262	1931221	1934931
9626	96234	99303
9645	1226501	1229848
9731	996724	999892
9771	161265	164332
9805	921293	924411
9837	1190238	1193402
9977	293470	296564
10061	274130	277343
10174	1584654	1587834
10196	469482	472662
10403	1025932	1029074
10508	1824960	1828094
10510	737987	741151
10516	300570	303762
10573	11529	14684
10638	308698	312070
10832	1283994	1287056
10852	1312013	1315356
10955	1666402	1669532
11048	183397	186529
11159	352204	355301
11214	1192662	1196322
11274	1372281	1375441
11279	1811391	1814564
11378	9452	12571
11612	1460713	1464249
11664	1989401	1992606
11744	1665991	1669161
11765	300227	303366
11872	830778	834329
12053	648169	651304
12127	323099	326503
12137	943510	946893
12146	1313560	1316734
12251	529469	532555
12307	1884421	1887842
12316	1185671	1189114
12317	463015	466437
12421	1525063	1528176
12447	452673	455746
12575	1643646	1647002
12728	1682593	1685825
12975	754082	757238
13028	1238975	1242319
13073	1149139	1152313
13111	1281773	1285185
13431	1977820	1980904
13519	1611366	1614436
13633	966421	969754
13651	740266	743848
13708	1588343	1591550
13757	553844	557136
13827	660543	663919
13842	1560612	1563657
13920	1639978	1643251
14023	983255	986376
14132	1227370	1230527
14274	1611379	1614520
14414	761510	764916
14499	9446	12776
14569	1024160	1027347
14635	187155	190625
14662	1748365	1751552
14722	923504	926685
14909	1091130	1094354
15078	836653	840034
15180	212669	216033
15278	2024948	2028126
15314	1118824	1122573
15327	901708	904870
15398	974511	977661
15439	514822	518003
15717	9590	12778
15769	1239734	1242852
15831	446310	449463
15888	260088	263238
15932	765900	768907
16015	932058	935410
16063	401418	404468
16107	642199	646019
16247	1372138	1375400
16291	898830	902378
16455	1076752	1079910
16468	1434712	1438089
16540	65751	68923
16554	767990	770995
16590	918984	922185
16612	234286	237424
16721	78086	81270
17082	825176	828818
17123	1925932	1929335
17299	1212642	1215757
17349	780874	784029
17392	345798	349343
17485	2025880	2029068
17491	1709697	1712726
17741	1220231	1223525
17800	1178854	1181850
17905	807059	810193
17913	981272	984571
18035	742555	745901
18112	1701929	1705225
18786	1182500	1186063
18936	1689740	1692877
18980	413614	416743
18997	991670	994827
19087	437159	440361
19324	1580648	1583801
19329	1866635	1869781
19631	1495235	1498419
19706	1508357	1511523
19719	861648	864757
20251	1097449	1100476
20333	51626	54801
20481	1363247	1366644
20510	1039954	1043133
20530	830411	833526
20750	768722	771893
21063	1986047	1989766
21245	631131	634707
21280	1002143	1005737
21289	74611	78152
21453	241244	244424
21507	1356872	1360054
21527	2057160	2060306
21557	1672533	1675652
21653	742906	746109
21748	1353920	1357096
21770	369642	372671
21816	1470505	1473654
21872	562554	565720
21903	797330	800451
21998	1995307	1998982
22130	1884968	1888330
22132	104601	107505
22168	1195049	1198139
22378	967672	971084
22442	1419625	1422924
22660	10666	14054
22764	2014723	2018634
22913	1202792	1206201
22943	447382	450479
23040	59722	62910
23180	1802939	1806564
23245	1775226	1778659
23379	604448	607596
23431	1216502	1219602
23466	2055192	2058401
23493	535199	538343
23569	1205013	1208233
23787	337065	340727
23858	1926908	1930182
23900	398642	401886
24068	2048539	2051739
24076	1859519	1862881
24123	1063325	1066825
24279	1245322	1249036
24332	1063065	1066227
24384	65617	68929
24458	129693	132952
24582	2034240	2037436
24620	462594	465726
24759	1171446	1174562
24767	843075	846242
24967	1641028	1644313
25009	721678	724829
25148	853113	856846
25334	1434550	1437946
25528	494799	497997
25755	75662	78857
25805	939947	943139
26048	1261772	1265227
26073	907077	910213
26096	1157782	1160980
26447	1522764	1525898
26732	1576394	1579899
26830	1754861	1758331
27042	421574	424724
27077	1069786	1072915
27103	886144	889300
27112	1861624	1864795
27136	461378	464545
27143	980384	983546
27246	1107647	1111016
27281	1695351	1698547
27421	221966	225129
27433	918808	921900
27547	1027383	1030554
27580	1225126	1228554
27591	1665679	1668841
27658	434498	438343
27691	1410067	1413238
28102	1927730	1930882
28115	1528031	1531180
28361	951198	954360
28364	1564696	1567980
28399	413942	417160
28791	1817605	1821108
28905	1915231	1918586
29065	2038597	2041769
29125	1240267	1243637
29146	1847722	1850871
29154	1452723	1455901
29330	696060	699215
29437	2071584	2074720
29497	1249321	1252812
29547	1362261	1365650
29649	909762	913140
29656	1315108	1318739
29677	954781	957918
29855	1693200	1696333
29879	996949	1000102
30273	735547	738584
30298	1707138	1710222
30299	1074204	1077959
30555	635029	638198
30564	249458	252506
30606	1088753	1092370
30671	1609140	1612266
30765	39262	42384
30836	36918	40115
30952	209438	212602
31023	1694506	1697664
31092	477161	480375
31178	380184	383310
31183	1904279	1907383
31187	355970	359097
31218	1091797	1095106
31241	1165014	1168278
