EVENT	TDC1	TRIG
666	370186	373518
668	1782778	1786074
669	1277559	1280802
670	1718939	1722003
679	1445700	1448728
682	1953833	1957534
684	1263662	1266890
685	1814434	1817460
686	245178	248260
689	1224106	1227335
692	1708470	1711580
693	1798440	1801733
694	1703945	1707022
695	1069060	1072103
697	1090137	1093594
704	974210	977296
705	1589043	1592463
706	550510	553629
707	1989082	1992088
708	1762034	1765309
709	438018	441170
710	1146518	1149559
712	526978	530163
714	1495623	1498911
715	202161	205355
719	79066	82340
721	1861873	1865582
722	1155924	1159274
724	2077268	2080313
725	1809129	1812306
727	2057358	2060688
729	335845	338894
731	1877351	1880526
732	1633328	1636411
733	1668675	1672018
735	1871906	1875060
736	235849	239680
737	1235069	1238171
740	1389558	1392721
741	403086	406349
742	462242	465306
743	1936439	1939482
744	510001	513436
746	969833	973036
747	1221119	1224280
748	1923529	1926661
749	1601488	1605163
750	1521714	1524980
751	1592822	1595979
753	1029666	1032960
754	1792546	1795583
755	623330	626610
756	1580143	1583440
757	1739847	1742992
760	216830	220012
762	216533	219554
763	1682420	1685709
765	948637	951686
766	669094	672249
767	1638224	1641267
768	1336080	1339211
770	1867559	1870737
771	1283590	1286620
772	1014988	1018223
773	31086	34212
775	156195	159409
776	1156639	1159780
780	419692	423068
781	1502605	1506017
784	598715	602033
786	1978965	1982201
789	2039765	2042787
790	1180464	1183715
791	690371	693409
792	110010	113317
797	605239	608845
799	1993371	1996443
800	566128	569388
803	1805912	1809267
805	943967	947228
806	1193961	1197284
807	957508	960902
813	873202	876289
814	514028	517144
816	1013528	1017018
818	978274	981334
819	1482614	1486417
820	1755660	1759130
821	77611	80926
822	477727	480965
823	464543	467666
824	854323	857372
825	1491421	1495023
826	1326062	1329087
827	269554	272820
837	1016329	1019360
838	1903372	1906466
839	45607	48799
841	1212008	1215263
842	813279	816554
844	1282436	1285956
846	1481566	1484637
847	894565	897950
848	1798398	1801485
849	2021878	2025101
850	283449	286698
853	2018681	2021770
855	1971875	1975014
856	152677	155816
859	1674787	1677901
861	1287223	1290621
865	1121572	1124887
866	683299	686727
868	714182	717551
869	799553	802675
870	201924	204955
871	490317	493339
872	1766657	1769816
873	303325	306474
874	1907020	1910081
877	1387313	1390357
878	1166238	1169718
879	1925869	1928920
880	912981	916006
883	982227	985366
886	718022	721171
889	484039	487389
892	485695	488746
893	1067405	1070430
894	1296311	1299331
896	232374	235499
898	560565	563965
899	1320182	1323336
900	178078	181230
901	1790920	1794481
902	931817	935050
903	175914	179272
906	1533124	1536194
907	2011823	2015267
908	16438	19436
912	1200573	1203828
914	524027	527108
916	1925478	1928805
918	1047794	1051049
919	678033	681394
922	1241591	1244729
926	1764863	1768144
927	1586149	1589288
928	1446710	1449856
929	1641193	1644272
930	1004051	1007551
932	543781	546832
933	1631751	1634805
934	983971	987206
935	1320744	1323835
938	893093	896446
942	1571873	1575060
943	318886	322002
945	553386	556400
947	1348143	1351373
950	1305807	1309218
951	1026810	1029874
953	1713934	1717118
954	1404801	1408200
955	1669067	1672142
956	1663195	1666227
961	529112	532162
963	1232653	1235846
964	1939971	1942993
965	1136517	1139635
966	143345	146504
969	137369	140351
972	1348627	1351942
975	1512259	1515308
977	671721	674917
978	323906	327161
979	948435	951582
980	72732	76234
982	761676	764798
983	252973	256000
984	715032	718072
986	184305	187331
988	233472	236541
989	1288129	1291462
993	2060994	2064328
996	619509	622631
998	1981508	1984624
999	1557051	1560037
1007	462986	466553
1010	195461	199152
1011	891848	894895
1013	698806	702290
1014	1614451	1617703
1015	20783	24150
1017	1593834	1597418
1018	1043942	1046980
1019	556091	559432
1022	771266	774320
1023	1334631	1337934
1024	813698	816934
1025	1093896	1097491
1026	1658115	1661161
1029	1971418	1974600
1030	1865655	1868776
1031	582342	585359
1033	1328011	1331096
1034	860248	863317
1035	1571174	1574530
1036	179972	183352
1037	185348	188391
1039	1672468	1675478
1041	166029	169184
1042	1593301	1596490
1045	422554	425732
1046	1149274	1152358
1047	719474	722507
1053	92872	95899
1057	951313	954601
1059	1683806	1687065
1060	92463	95088
1062	989687	992718
1066	2032297	2035597
1069	1764424	1767714
1071	1366043	1369199
1072	1783577	1786718
1080	239393	242922
1081	805663	809074
1082	1356624	1359768
1083	2059815	2063122
1085	675001	678036
1086	1357077	1360154
1089	2095713	1600
1090	2096821	2784
1091	1094343	1097375
1092	465498	468517
1093	2014499	2017668
1094	2057312	2060538
1095	1692162	1695585
1096	225421	228605
1103	1575365	1578464
1106	615111	618520
1108	1569262	1572831
1109	998153	1001210
1110	1662171	1665547
1111	1968177	1971300
1112	449666	452664
1115	678711	682149
1116	558903	562237
1118	238561	242161
1120	1964196	1967218
1121	1322042	1325312
1122	1802670	1805812
1123	1777741	1780938
1124	1013871	1017003
1125	762254	765731
1127	502698	505731
1128	277383	280428
1129	1394398	1397624
1132	339810	343110
1133	522202	525255
1135	219486	222670
1138	622514	625568
1139	1588994	1592274
1141	59834	62886
1142	192941	196376
1143	210587	213619
1144	217533	220776
1145	1597099	1600192
1148	483044	486165
1149	1157510	1161013
1151	1711132	1714149
1154	898410	901427
1157	1129779	1132800
1159	2087126	2090197
1161	1138227	1141409
1163	796540	799614
1165	634383	637989
1166	851447	854809
1168	1380155	1383561
1175	892346	895376
1177	1171229	1174757
1178	2072215	2075610
1179	990244	993552
1180	2094850	1072
1181	110310	113446
1182	2072972	2076353
1183	507290	510585
1186	773818	777375
1189	602819	605859
1191	1895936	1899352
1193	325571	329121
1196	1611002	1614054
1197	745003	748039
1198	899130	902265
1203	47999	51484
1205	2095726	2043
1206	628900	631989
1207	318247	321610
1208	141066	144384
1209	1661197	1664697
1210	299860	303351
1212	1452956	1456332
1213	2034596	2038012
1215	510190	513386
1224	1301562	1304581
1228	1665323	1668374
1232	443110	446717
1236	978156	981499
1238	1418039	1421075
1242	772163	775303
1246	35593	38746
1247	642999	646063
1250	1957109	1960209
1253	864471	868021
1254	677250	680593
1255	1252246	1255438
1259	685355	688734
1260	1037806	1040982
1261	447795	450822
1264	1589447	1592506
1267	1156272	1159332
1268	170598	173714
1270	1838675	1842149
1271	820167	823211
1272	715902	719097
1279	1004375	1007400
1280	29564	32966
1281	1365441	1369213
1283	1542491	1545791
1284	1680802	1684137
1287	340123	343386
1288	435783	438801
1291	769301	772599
1294	622189	625753
1298	1034247	1037298
1299	1123612	1126630
1305	1411978	1415189
1306	1601994	1605414
1307	1252199	1255350
1311	1567704	1570732
1318	1958620	1962130
1319	1674901	1678055
1320	465755	468855
1324	320539	323916
1327	1161112	1164208
1328	490061	493631
1332	240947	244088
1333	287997	291224
1335	1379773	1382825
1336	235175	238368
1338	1031646	1035145
1339	1948315	1951654
1341	716580	719942
1342	1634349	1637485
1343	187676	190853
1345	1946399	1949461
1349	20645	23769
1350	31397	34658
1354	901996	905037
1355	1435122	1438439
1358	270575	273932
1359	985927	989044
1360	1872146	1875194
1361	1035546	1038684
1364	1850023	1853239
1365	661151	664295
1366	1037106	1040306
1367	923821	927208
1369	1570699	1573800
1370	406380	409953
1373	686435	689705
1374	325689	328763
1375	856414	859639
1376	700612	703756
1377	1347999	1351048
1381	1560193	1563552
1385	648110	651278
1388	1236304	1239577
1390	598101	601586
1391	797906	801012
1392	501243	504636
1394	697501	700644
1395	1593079	1596130
1400	1289446	1292692
1402	858221	861542
1403	136661	139686
1405	898417	901654
1407	1078034	1081238
1409	1667007	1670057
1410	320803	323997
1414	1728110	1731340
1415	1225783	1228954
1420	974089	977442
1421	431114	434145
1425	143473	146536
1426	789801	793354
1427	512291	515797
1428	1220058	1223101
1432	753500	756541
1433	132646	136086
1436	1176587	1180268
1437	1580125	1583210
1438	260298	263788
1439	498861	501998
1440	1492397	1495442
1443	917962	920964
1444	13934	16976
1445	339692	342862
1447	1586059	1589388
1449	210470	213571
1450	175926	179202
1454	1756443	1759617
1455	436701	439762
1456	1280748	1283758
1461	975819	978953
1463	839880	843084
1466	1859713	1862719
1467	198770	201918
1469	1745893	1749430
1470	1745756	1748972
1472	85963	89049
1473	968669	972070
1478	634382	637593
1480	900936	903971
1481	1775900	1779034
1483	264399	267842
1484	1576860	1580106
1485	1250588	1253848
1486	293183	296759
1491	1714613	1717700
1493	1681718	1685080
1495	27905	31174
1500	36270	39941
1501	583884	587356
1502	1323687	1326856
1506	685571	688565
1507	1018246	1021775
1509	608562	611670
1512	88923	92190
1514	565032	568082
1516	1212865	1216195
1518	951930	955340
1520	1043202	1046501
1522	408737	411768
