event	TDC0	TDC1
1	1176063	1175866
2	691035	691046
3	851128	851166
4	413034	413070
6	1607843	1607892
7	1851935	1851976
8	338665	338833
9	736486	736184
10	2010413	2010481
11	1469994	1470053
12	2063783	2063855
13	735935	735945
14	294324	294395
15	1479623	1479800
16	799269	799397
17	301966	302018
22	2049332	2049402
23	608038	608065
24	604961	605016
25	1350792	1350821
26	1025854	1025898
27	763467	763523
28	190247	190320
30	744057	744610
31	1433900	1433990
32	80863	80928
33	791426	791504
34	1734381	1734458
35	802570	802678
36	1084003	1084001
37	642859	642908
38	903728	903799
39	569233	569287
40	226773	226786
41	671884	671945
42	1566956	1567019
43	949077	949153
44	1654509	1654558
45	792453	792525
46	597300	597393
47	249490	249416
48	743103	743155
49	387806	387889
50	1446485	1446529
55	799208	799256
56	1788292	1788229
57	1243281	1243360
58	239029	239057
59	259591	259637
60	101814	101863
61	652048	652068
62	344590	344919
63	1349809	1349907
64	2080440	2080624
65	1897780	1897863
66	1702365	1702508
67	941867	941878
68	268454	268543
69	563166	563231
70	2066975	2067051
71	602349	602330
72	2022098	2022114
73	499641	499650
74	1827148	1827238
75	519088	519169
76	732033	732129
77	1233326	1233391
78	862986	862677
79	574197	574260
80	215486	215517
81	614254	614337
82	856944	857006
83	436713	436820
84	1363965	1364142
85	2088479	2088511
86	1690444	1690523
87	1918587	1918623
88	1200770	1201034
89	776966	777005
90	249767	249848
91	511466	511543
92	1835103	1835192
93	797032	797080
94	1131163	1131208
95	32260	32241
96	820836	820898
97	470587	470672
98	1268619	1268623
99	1738002	1737985
100	771237	771262
101	2053801	2053817
102	89791	89892
103	1702312	1702464
104	1820111	1820160
105	2054066	2054153
106	409797	409878
107	1864069	1864147
108	2071547	2071648
109	132370	132395
110	1013522	1013555
111	1194024	1193705
112	1631451	1631553
113	1941478	1941562
114	1336660	1336686
115	519094	519103
116	1495943	1496027
118	1421074	1421058
119	1717441	1717499
120	1997488	1997524
121	1684102	1684086
122	548475	548496
123	1972233	1972344
124	1129019	1129023
125	739798	739879
126	264860	264909
127	1771832	1771859
128	2094958	2095124
129	792233	792279
130	208376	208459
131	750304	750347
132	1113269	1113232
135	748351	748384
136	1850365	1850410
137	99219	99279
138	1687119	1687170
139	1291225	1291292
140	764146	764231
141	10831	10813
142	295487	295488
143	312872	312927
144	2067688	2067755
145	1885215	1885254
146	2000445	2000473
147	1483011	1483198
148	801329	801350
149	2063338	2063363
150	942672	942733
151	1484112	1484189
152	1983023	1983125
153	1892114	1892141
154	1203496	1203578
155	916172	916278
156	1372686	1372761
157	1804864	1804891
158	1885854	1885919
159	1116167	1116243
160	1143941	1144017
161	504015	504072
162	1753767	1753801
163	203163	202918
164	1440284	1440351
165	360835	360915
166	1744263	1744287
167	1772701	1772711
168	1196134	1196146
169	1171839	1171926
170	1790597	1790869
171	1507765	1507875
172	595145	595188
173	1396134	1395954
175	2045097	2045150
176	2081236	2081312
177	250689	250624
178	1776223	1776281
