event	TDC0	TDC1
371	1942285	1942120
372	304477	304402
373	1764797	1764688
374	1278510	1278451
375	1000282	1000209
376	375544	375689
377	715303	715215
378	1049380	1049287
379	853597	853516
380	1444117	1444061
382	1319938	1320225
383	1329056	1328969
384	342678	342587
386	1818289	1818540
387	1513373	1513296
388	1360427	1360557
389	1979003	1979235
390	633550	633771
392	245506	245396
393	1023154	1023042
394	24467	24387
395	79166	79096
396	1177292	1177556
397	1615387	1615328
398	1951500	1951384
399	1818288	1818195
400	1288631	1288871
401	903602	903532
402	653753	654040
403	683711	683604
404	1381932	1381850
405	1264582	1264488
406	405621	405902
407	155047	154976
408	1171713	1171633
409	115283	115584
410	157101	156972
411	2048493	2048422
412	1817827	1817720
413	906541	906480
414	692943	692865
415	1241546	1241431
416	1545965	1545872
417	1162701	1162589
418	38062	37966
419	331551	331847
420	1637657	1637560
421	599855	599758
422	251654	251910
423	616823	616732
424	509294	509571
425	367129	367065
426	288961	289328
427	1063758	1063672
428	1651884	1651822
429	1632207	1632142
430	1952940	1952835
431	1948607	1948900
432	1037077	1036979
433	2007783	2008013
434	1078122	1078026
435	18521	18432
436	1945861	1945775
438	867374	867294
439	1110387	1110300
440	1472610	1472815
441	1021552	1021517
442	301312	301171
443	781179	781048
444	1710874	1710796
445	2025039	2025282
446	342336	342227
447	1578873	1579140
448	772944	772890
449	90583	90472
450	814207	814141
451	427393	427591
452	1340114	1340044
453	1642784	1642649
454	187244	187500
455	2064608	2064506
456	350989	350932
458	418571	418438
459	277698	277979
460	1215098	1214996
461	1999850	1999718
462	1573605	1573507
463	1046986	1046922
464	1361866	1361816
465	1838623	1838560
466	1753163	1753089
467	2091632	2091534
468	1009527	1009419
469	1166264	1166132
470	1829935	1829892
471	202270	202228
472	1244359	1244299
473	778669	778591
474	1894415	1894354
475	474998	474904
476	897627	897524
477	2022204	2022131
478	1530597	1530515
479	334217	334105
480	1925342	1925601
481	11118	11317
482	681240	681138
483	898532	898426
484	2077329	2077254
485	1624753	1624649
486	1730600	1730537
487	1110828	1110759
488	1566648	1566573
489	1661417	1661334
490	962465	962399
