event	TDC0	TDC1
368	1318553	1318982
369	274516	274466
370	686610	686979
371	1979975	1980275
372	975226	975044
373	2039884	2039874
374	1580756	1581040
375	106379	106360
376	1983384	1983331
377	1278826	1278928
378	952682	952985
379	801062	801010
380	128540	128532
381	123828	123781
382	1293829	1293771
383	811726	811715
384	1502397	1502373
385	1218669	1218978
387	1254375	1254333
388	1953569	1953438
389	1265200	1265170
390	344855	344834
391	836798	837131
392	1618481	1618463
393	924393	924737
394	807396	807338
396	142759	143203
397	1706385	1706302
398	1115934	1115910
399	255411	255359
400	530762	530731
401	2004483	2004802
402	748455	748419
403	851043	851014
404	1533347	1533089
405	1622017	1622013
406	1113843	1114202
407	1378923	1378895
408	1040055	1040306
409	1944190	1944119
410	1782907	1782878
411	589819	589740
412	1832374	1832344
413	699212	699195
414	519469	519425
415	287527	287841
416	889378	889360
417	1289236	1289572
418	1951285	1951248
419	89779	89750
420	1169844	1169781
421	935728	935693
423	857250	857524
424	1876548	1876507
425	1694469	1694420
427	819294	819266
428	1730055	1730010
429	1895095	1895058
430	553859	554189
431	427086	427050
432	930328	930283
433	564879	564879
434	770251	770215
435	181612	181607
436	835069	835397
437	1424284	1424217
438	1249334	1249320
439	2045816	2046063
440	1838479	1838459
441	256907	256815
442	781022	781312
443	958682	958999
444	766363	766284
445	1736646	1737004
446	1433092	1433416
447	180197	180491
448	1083318	1083627
449	61824	61752
450	1305942	1305900
451	1556262	1556544
452	747072	747023
453	178777	178744
454	1939636	1939599
456	667768	668119
457	1908997	1908953
458	1355768	1355732
459	1098008	1097984
460	1658685	1658992
461	2061268	2061205
462	853506	853404
463	721737	721653
464	694922	695333
465	1719767	1720232
466	1366073	1366064
467	1554494	1554448
468	1694982	1695307
469	1330773	1330912
470	1647513	1647455
471	1841828	1842151
472	895429	895373
473	1998234	1998209
474	328844	329157
475	2028697	2028987
476	1220856	1220821
477	321669	321647
478	653493	653439
479	342098	342084
480	541392	541355
481	1846214	1846557
482	765366	765677
483	11694	11982
484	1599806	1599725
485	584663	584623
486	1353714	1353701
487	991065	991020
488	675992	675935
489	1331356	1331331
490	260077	260042
491	367254	367021
492	1577283	1577219
493	1875549	1875512
494	756064	756415
495	2079023	2079062
496	17791	17742
497	622492	622446
498	276053	276017
499	1151456	1151441
500	1463344	1463698
501	218419	218363
502	1581316	1581282
504	1546452	1546752
505	781858	781856
506	684051	684004
507	1885803	1885799
509	1122395	1122357
510	1716279	1716243
511	1294416	1294384
512	117645	117667
513	1630482	1630407
514	1387968	1388306
515	779286	779251
516	769554	769851
517	1682616	1682535
518	197853	197821
519	451400	451360
520	306605	306951
521	1890126	1890113
522	1333865	1333817
523	497902	497896
525	705660	706369
526	1506813	1506792
527	982438	982424
528	896042	896027
529	1427127	1427121
530	1713985	1713946
531	1545839	1545788
532	560198	560132
533	335019	334962
534	1851019	1850965
535	133772	134008
536	1358356	1358301
537	70102	70055
538	1759744	1759973
539	1909971	1909948
540	891709	891663
541	1463251	1463245
542	1462503	1462481
543	2016579	2016533
544	1524539	1524785
545	401150	401084
546	1626355	1626302
547	2052661	2052627
548	2062851	2062848
549	2049087	2049053
550	1287354	1287311
551	1572325	1572606
552	1029889	1029865
553	681321	681277
554	1343781	1343730
555	1585591	1585941
556	1077569	1077872
557	121546	121485
558	507837	507723
559	857481	857473
560	1327397	1327303
561	1025879	1025920
562	446262	446200
563	1819567	1819530
564	664214	664565
565	1582071	1582052
566	839369	839303
567	1328190	1328195
568	1073087	1073061
569	275206	275163
570	482297	481849
571	793452	793756
572	896787	897099
573	722278	722584
574	679766	679712
575	514739	514722
576	1106429	1106378
577	716517	716926
578	1545712	1545693
579	142011	141977
580	451506	451455
582	1542644	1542471
583	19668	19968
588	1234584	1234549
589	1934865	1934825
591	316042	315934
592	656426	656599
593	1247252	1247522
594	413696	414030
595	1528598	1528951
596	1864394	1864677
597	1915852	1915845
598	555488	555414
599	653829	653789
600	1482159	1482068
602	1815283	1815245
603	54267	54211
604	1114224	1114538
605	1206057	1206044
606	642602	642545
607	1659085	1659032
608	2014819	2014773
609	754168	754513
610	811531	811490
611	1326083	1325922
612	283442	283393
613	321267	321251
614	950651	950606
615	602819	603123
616	1076359	1076685
617	1574944	1575269
618	273273	273169
619	1271458	1271448
620	535320	535320
621	889589	889482
622	222704	222649
623	1479355	1479629
624	830174	830123
625	896665	896601
626	675693	675645
627	1264572	1264921
628	26790	26786
629	35192	35544
630	515493	515397
631	1288150	1288022
632	1927075	1927000
633	1585556	1585857
634	1331507	1331432
635	688523	688489
636	477908	477814
637	863128	863139
638	149881	149836
639	206387	206685
640	1636159	1636117
641	135824	135801
642	197435	197410
643	341111	341070
644	53961	53952
645	733140	733073
646	211577	211555
647	1889212	1889576
648	416514	416791
649	1350450	1350343
650	749941	749899
651	733312	733271
652	1096005	1095981
653	802532	802472
654	1436997	1436927
655	2078364	2078383
656	1554602	1554546
657	1647079	1647000
658	956230	956214
659	1013560	1013476
660	1980298	1980251
661	949904	949871
662	518889	518845
663	165928	165730
664	81656	81986
665	879455	879438
666	2085096	2085083
667	1231134	1231215
668	23689	23607
669	934737	934667
670	1775091	1775076
671	13078	13010
672	1978672	1978661
673	94348	94246
674	825576	825529
676	1126065	1126040
677	1317987	1317941
678	402802	402755
679	1349211	1349196
680	861268	861266
681	1353565	1353756
682	220157	220108
683	1574779	1574718
684	1174985	1174921
685	1514753	1515105
686	499759	499710
687	879638	879625
688	1150598	1150921
689	1635694	1636020
690	1522824	1522737
691	1533449	1533745
692	494520	494512
693	1287081	1287043
694	1685499	1685456
695	376067	376355
696	561732	561712
697	1287075	1287063
698	413352	413348
699	697436	697718
700	1361286	1361244
701	1088169	1088453
702	879714	879669
704	1890697	1890661
705	1990428	1990356
706	1856895	1856829
707	37563	37875
708	923063	923003
709	623505	623457
710	2032425	2032403
711	1159036	1158978
712	1291508	1291481
713	355360	355303
714	1303162	1303485
715	1911953	1911925
717	1627946	1628287
718	1648693	1648635
719	1455013	1454986
720	392044	391990
721	843303	843667
722	1673277	1673598
723	1003945	1003896
724	1638026	1637985
725	803285	803254
726	760935	760923
727	1573816	1573789
728	1324478	1324406
729	1310462	1310729
730	719399	719344
731	1772709	1772696
732	320883	321203
733	683503	683425
734	558874	558848
735	135768	136089
736	1239445	1239747
737	803795	804139
738	1064751	1064725
739	493690	493999
740	1853979	1853890
741	796941	796927
